	condition 1	condition 2	condition 3	condition 4	condition A	condition B
Phvul.002G207000.1	0	0	0	0	1.993478673	1.099834495
Phvul.006G208100.1	0	0	0	0	1.033252947	0.829892499
Phvul.002G206900.1	0	0	0	0	0	0
Phvul.007G086800.1	0	0	0	0	0	0
Phvul.004G086300.1	0	0	0	0	0.733472972	0
Phvul.002G064400.1	0	0	0	0	-0.565806562	0
Phvul.004G046800.1	0	0	0	0	-0.532201978	0
Phvul.003G044400.1	0	0	0	0	-0.485204268	0
Phvul.008G022700.1	0	0	0	0	-0.970509991	-0.747137468
Phvul.001G252800.1	0	0	0	0	0	0
Phvul.002G257000.1	0	0	0	0	0	0
Phvul.003G152900.1	0	0	0	0	0	0
Phvul.006G174400.1	0	0	0	0	0	0
Phvul.002G276900.1	0	0	0	0	0	0
Phvul.002G125100.1	0	0	0	0	0	0
Phvul.009G190400.1	0	0	0	0	0	0
Phvul.003G193100.1	0	0	0	0	0	0
Phvul.010G149300.1	0	0	0	0	0	0
Phvul.005G005900.1	0	0	0	0	0	0.574817867
Phvul.005G178500.1	0	0	0	0	0	0
Vigun03g133400.1	2.816257611	0	0	-3.611566887	0	0
Vigun06g225500.1	0.629229052	0	0	0	0	0
Vigun03g133600.1	0.660769128	-0.797064044	0	0	0	0
Vigun07g209900.1	0	0	-0.714408348	0.895538018	0	0
Vigun04g119400.1	0	1.265771004	0	1.211027856	0	0
Vigun02g079200.1	-0.617346093	0	0	0.373591461	0	0
Vigun04g068600.1	0	0	0	1.703948664	0	0
Vigun02g028600.1	0	0	0	-1.249869321	0	0
Vigun05g024300.1	0	0	0	0	0	0
Vigun03g077300.1	0	0	0.851276269	0	0	0
Vigun01g237300.1	-0.666436866	0	0	0	0	0
Vigun06g189200.1	0	0	0	0	0	0
Vigun03g375300.1	0	0	-0.583776734	0	0	0
Vigun03g058900.1	0.523724901	-0.760503384	0	-0.738460942	0	0
Vigun02g105200.1	0	0	0	-0.458409403	0	0
Vigun09g078800.1	0	0	0	0	0	0
Vigun05g295500.1	0	0	0	0.880092787	0	0
Vigun04g014700.1	1.136797015	0	0	-0.93141917	0	0
Vigun10g183600.1	0	0	0	1.10973123	0	0
Vigun06g039600.1	0	0	0	0	0	0
