taxa	species
GLYMA_05G119500	Gmax20cds.fa
GLYMA_05G119500	Gmax20cds.fa
GLYMA_08G180800	Gmax20cds.fa
GLYMA_02G076100	Gmax20cds.fa
GLYMA_08G074500	Gmax20cds.fa
GLYMA_05G119600	Gmax20cds.fa
GLYMA_05G119600	Gmax20cds.fa
GLYMA_15G0516001	Gmax20cds.fa
GLYMA_08G074500	Gmax20cds.fa
GLYMA_08G180800	Gmax20cds.fa
GLYMA_20G173000	Gmax20cds.fa
GLYMA_20G173000	Gmax20cds.fa
GLYMA_10G218800	Gmax20cds.fa
GLYMA_10G218800	Gmax20cds.fa
GLYMA_01G028700	Gmax20cds.fa
GLYMA_02G036500	Gmax20cds.fa
GLYMA_19G039100	Gmax20cds.fa
GLYMA_13G050200	Gmax20cds.fa
GLYMA_19G039100	Gmax20cds.fa
GLYMA_02G127800	Gmax20cds.fa
Phvul.002G207000.1	Pvul218cds.fa
Phvul.006G208100.1	Pvul218cds.fa
Phvul.002G206900.1	Pvul218cds.fa
Phvul.007G086800.1	Pvul218cds.fa
Phvul.004G086300.1	Pvul218cds.fa
Phvul.002G064400.1	Pvul218cds.fa
Phvul.004G046800.1	Pvul218cds.fa
Phvul.003G044400.1	Pvul218cds.fa
Phvul.008G022700.1	Pvul218cds.fa
Phvul.001G252800.1	Pvul218cds.fa
Phvul.002G257000.1	Pvul218cds.fa
Phvul.003G152900.1	Pvul218cds.fa
Phvul.006G174400.1	Pvul218cds.fa
Phvul.002G276900.1	Pvul218cds.fa
Phvul.002G125100.1	Pvul218cds.fa
Phvul.009G190400.1	Pvul218cds.fa
Phvul.003G193100.1	Pvul218cds.fa
Phvul.010G149300.1	Pvul218cds.fa
Phvul.005G005900.1	Pvul218cds.fa
Phvul.005G178500.1	Pvul218cds.fa
BAK1	TAIR10cds.fa
BAK1	TAIR10cds.fa
SERK4	TAIR10cds.fa
SERK5	TAIR10cds.fa
SERK5	TAIR10cds.fa
SERK2	TAIR10cds.fa
SERK2	TAIR10cds.fa
SERK1	TAIR10cds.fa
SERK5	TAIR10cds.fa
SERK5	TAIR10cds.fa
NIK2	TAIR10cds.fa
NIK2	TAIR10cds.fa
NIK2	TAIR10cds.fa
NIK1	TAIR10cds.fa
AT5G10290.2	TAIR10cds.fa
AT5G10290.1	TAIR10cds.fa
AT5G65240.1	TAIR10cds.fa
NIK3	TAIR10cds.fa
AT5G65240.2	TAIR10cds.fa
AT2G23950.1	TAIR10cds.fa
Vigun03g133400.1	Vung469cds.fa
Vigun06g225500.1	Vung469cds.fa
Vigun03g133600.1	Vung469cds.fa
Vigun07g209900.1	Vung469cds.fa
Vigun04g119400.1	Vung469cds.fa
Vigun02g079200.1	Vung469cds.fa
Vigun04g068600.1	Vung469cds.fa
Vigun02g028600.1	Vung469cds.fa
Vigun05g024300.1	Vung469cds.fa
Vigun03g077300.1	Vung469cds.fa
Vigun01g237300.1	Vung469cds.fa
Vigun06g189200.1	Vung469cds.fa
Vigun03g375300.1	Vung469cds.fa
Vigun03g058900.1	Vung469cds.fa
Vigun02g105200.1	Vung469cds.fa
Vigun09g078800.1	Vung469cds.fa
Vigun05g295500.1	Vung469cds.fa
Vigun04g014700.1	Vung469cds.fa
Vigun10g183600.1	Vung469cds.fa
Vigun06g039600.1	Vung469cds.fa
GRMZM2G384439	Zmays325cds.fa
GRMZM2G150024	Zmays325cds.fa
GRMZM2G115420	Zmays325cds.fa
GRMZM5G870959	Zmays325cds.fa
GRMZM2G384439	Zmays325cds.fa
GRMZM2G010693	Zmays325cds.fa
GRMZM2G067675	Zmays325cds.fa
GRMZM2G349665	Zmays325cds.fa
AC217401.3_FG003	Zmays325cds.fa
GRMZM2G019317	Zmays325cds.fa
GRMZM2G019317	Zmays325cds.fa
GRMZM2G019317	Zmays325cds.fa
GRMZM2G019317	Zmays325cds.fa
GRMZM2G145720	Zmays325cds.fa
GRMZM2G349665	Zmays325cds.fa
GRMZM2G349665	Zmays325cds.fa
GRMZM2G146794	Zmays325cds.fa
GRMZM2G145720	Zmays325cds.fa
GRMZM2G349665	Zmays325cds.fa
GRMZM2G010693	Zmays325cds.fa
