taxa	hmm
Phvul.009G190400.1	Pkinase
Vigun09g078800.1	Pkinase
Vigun06g039600.1	Pkinase
Phvul.003G193100.1	Pkinase
Phvul.002G206900.1	Pkinase
Vigun03g133600.1	Pkinase
Phvul.010G149300.1	Pkinase
SERK4	Pkinase
GLYMA_05G119500	Pkinase
Phvul.002G125100.1	Pkinase
Vigun02g105200.1	Pkinase
Vigun03g133400.1	Pkinase
Phvul.002G207000.1	Pkinase
Phvul.005G005900.1	Pkinase
GLYMA_08G074500	Pkinase
GLYMA_15G0516001	Pkinase
Phvul.006G208100.1	Pkinase
Vigun10g183600.1	Pkinase
Phvul.007G086800.1	Pkinase
BAK1	Pkinase
GRMZM2G384439	Pkinase
Vigun05g295500.1	Pkinase
GLYMA_08G180800	Pkinase
Vigun06g225500.1	Pkinase
Vigun05g024300.1	Pkinase
GLYMA_05G119600	Pkinase
GLYMA_20G173000	Pkinase
Vigun07g209900.1	Pkinase
Vigun02g079200.1	Pkinase
GRMZM2G146794	Pkinase
GLYMA_02G076100	Pkinase
Phvul.002G064400.1	Pkinase
SERK2	Pkinase
GLYMA_02G036500	Pkinase
GLYMA_01G028700	Pkinase
GLYMA_10G218800	Pkinase
GRMZM2G150024	Pkinase
Phvul.008G022700.1	Pkinase
GRMZM2G115420	Pkinase
GRMZM5G870959	Pkinase
Vigun06g189200.1	Pkinase
Vigun04g119400.1	Pkinase
SERK1	Pkinase
Phvul.004G086300.1	Pkinase
NIK3	Pkinase
GRMZM2G067675	Pkinase
Phvul.006G174400.1	Pkinase
Vigun04g014700.1	Pkinase
GLYMA_19G039100	Pkinase
Phvul.004G046800.1	Pkinase
Vigun04g068600.1	Pkinase
GLYMA_02G127800	Pkinase
GLYMA_13G050200	Pkinase
AT5G65240.1	Pkinase
AT5G65240.2	Pkinase
Phvul.002G276900.1	Pkinase
Phvul.003G044400.1	Pkinase
NIK2	Pkinase
AT2G23950.1	Pkinase
Vigun03g058900.1	Pkinase
Vigun02g028600.1	Pkinase
Phvul.005G178500.1	Pkinase
Vigun03g077300.1	Pkinase
GRMZM2G010693	Pkinase
SERK5	Pkinase
Phvul.002G257000.1	Pkinase
NIK1	Pkinase
Vigun01g237300.1	Pkinase
AT5G10290.1	Pkinase
AT5G10290.2	Pkinase
AC217401.3_FG003	Pkinase
GRMZM2G019317	Pkinase
Phvul.003G152900.1	Pkinase
Vigun03g375300.1	Pkinase
Phvul.001G252800.1	Pkinase
GRMZM2G349665	Pkinase
GRMZM2G145720	Pkinase
